ONGs

Fecha de creación de la lista: 29 de octubre de 2025 11:13

Filtros aplicados: Provincia de domicilio: Córdoba; 

Código interno SISA ;Nombre de la organización;CUIT;Provincia de domicilio;Domicilio completo;Teléfono;Correo electrónico
2073;ASOCIACIÓN CIVIL DE GROW SHOPS Y CANNABICULTORES;30718035747;Córdoba;Cornelio Saavedra 2695  Piso:PH Dpto:2 - LO - Córdoba;1165751976;growshopycannabicultores@gmail.com
3252;ASOCIACIÓN CIVIL HIGHLANDER;30718386027;Córdoba;Franchini 495  - LO - Córdoba;2656406656;highlander.asociacion@gmail.com
3998;ASOCIACIÓN CIVIL RUDERALIS PARA EL BIENESTAR PLENO;30718781104;Córdoba;Domingo Zipoli 958  Piso:PB - LO - Córdoba;351 - 6213926;martilleroclaudioainete@gmail.com
2252;CANNA.GEN ASOCIACION CIVIL;30718035755;Córdoba;JUAN DE RIVADENEYRA 3332  - LO - Córdoba;0351153275833;jediazcueto@gmail.com
2894;CANNAVIDA ASOCIACION CIVIL;30718118561;Córdoba;Salta 396  - LO - Córdoba;3517685657;guifranrob@gmail.com
1934;CARLOS PAZ CANNABIS CLUB ASOCIACION CIVIL;30718016343;Córdoba;Rey del Bosque 336  - LO - Córdoba;3541333839;egregali8@gmail.com
2355;COMUNIDAD CANNABICA CORDOBA ASOCIACION CIVIL;30716909898;Córdoba;Av. Colon 182  Piso:1 Dpto:A - LO - Córdoba;3516146488;contacto@anandacbd.org
1793;COOPERATIVA DE TRABAJO LUPA LIMITADA;30717946487;Córdoba;FELIX ROBIN FERREYRA 2367  - LO - Córdoba;01151180941;otracordoba@gmail.com
2397;CREEM CLUB CANNABICO ASOCIACION CIVIL;30717875512;Córdoba;Juan Bautista Daniel 2090  - LO - Córdoba;3513037847;agvarea@gmail.com
1592;CULTIVANDO CONCIENCIAS ASOCIACION CIVIL;30717700909;Córdoba;Laprida 491  Piso:PB - LO - Córdoba;3518187348;joancuadrelli@gmail.com
3738;CÁLIZ SOCIAL CLUB ASOCIACIÓN CIVIL;30718602609;Córdoba;Juan Manuel de Rosas 644  Piso:PB Dpto:PB - LO - Córdoba;5493544569797;asociacioncaliz@gmail.com
1575;FUNDACION CON VOS;30717707687;Córdoba;Av. Libertador 830  - LO - Córdoba;3585129992;fundacionconvos@gmail.com
1091;FUNDACION DE ANDREA INCLUSION SOCIAL F.A.I.S.;33716800739;Córdoba;SAN JOSE DE CALASANZ 196  - LO - Córdoba;3513864378;fundaciondeandrea@gmail.com
3994;FUNDACIÓN AMB-SAL-CONS-LAB PARA LA PROTECCIÓN DEL;30718060377;Córdoba;Cochabamba 2297  - LO - Córdoba;01154908776;estudiosanjul@gmail.com
793;Fundación Interactiva Cronopios;33717103519;Córdoba;Av Cacique Tulián 2600  - LO - Córdoba;3549545642;cronopios.fic@gmail.com
2374;MODO CANNABIS ASOCIACIÓN CIVIL;30718205626;Córdoba;Los Tilos 4223  - LO - Córdoba;3518097661;julietteramirez1984@gmail.com
2779;PARA VIVIR BIEN ASOCIACION CIVIL;30718254716;Córdoba;L. M. Alem 958  - LO - Córdoba;3571600127;juanborghi@gmail.com
1131;PLANTAS MAESTRAS ASOCIACION CIVIL;30717501892;Córdoba;LAPRIDA 491  - LO - Córdoba;3518187348;joancuadrelli@gmail.com
3373;SOCIEDAD ARGENTINA DE MEDICINA DE URGENCIAS Y EMER;30717077233;Córdoba;9 de Julio 167  Piso:2 - LO - Córdoba;3516897005;comunicaciones@samue.org
1212;TERRAMORE ASOCIACION CIVIL;30717598144;Córdoba;Simón Bolívar 385  - LO - Córdoba;1517685657;guifranrob@gmail.com
1654;UNIDOS POR UN MUNDO MAS VERDE ASOCIACION CIVIL;30717755703;Córdoba;Boulevard Los Alemanes 5847  - LO - Córdoba;3512263698;ivanrojasventas@hotmail.com
1953;VITAL WEED ASOCIACION CIVIL;30717755819;Córdoba;Av. Juan Domingo Peron 1675  - LO - Córdoba;3534790014;vitalweed0150@gmail.com
